"incident_datetime","incident_date","incident_time","incident_year","incident_day_of_week","report_datetime","row_id","incident_id","incident_number","cad_number","report_type_code","report_type_description","filed_online","incident_code","incident_category","incident_subcategory","incident_description","resolution","intersection","cnn","police_district","analysis_neighborhood","supervisor_district","latitude","longitude","point",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_nqbw_i6c3",":@computed_region_2dwj_jsy4",":@computed_region_h4ep_8xdi",":@computed_region_y6ts_4iup",":@computed_region_jg9y_a9du"
"2019-10-03T22:47:00.000","2019-10-03T00:00:00.000","22:47","2019","Thursday","2019-10-03T23:04:00.000","85423064020","854230","190744592","192764380","II","Initial",,"64020","Non-Criminal","Other","Mental Health Detention","Open or Active","29TH AVE \ NORIEGA ST","27400000","Taraval","Sunset/Parkside","4","37.75376854578141","-122.48718301315785","POINT (-122.48718301315785 37.75376854578141)","39","10","7","35",,,,,
"2019-10-03T16:15:00.000","2019-10-03T00:00:00.000","16:15","2019","Thursday","2019-10-04T09:23:00.000","85434864070","854348","190745136","192771067","II","Initial",,"64070","Suspicious Occ","Suspicious Occ","Suspicious Occurrence","Open or Active","ALABAMA ST \ MARIPOSA ST","24045000","Mission","Mission","9","37.76291589268423","-122.41217329153451","POINT (-122.41217329153451 37.76291589268423)","53","3","2","20","3",,,,
"2019-10-03T16:00:00.000","2019-10-03T00:00:00.000","16:00","2019","Thursday","2019-10-04T11:26:00.000","85435171013","854351","190745487","192771504","VI","Vehicle Initial",,"71013","Larceny Theft","Theft From Vehicle","License Plate, Stolen","Open or Active","GOETTINGEN ST \ WILDE AVE","20579000","Bayview","Visitacion Valley","10","37.716134500935816","-122.40212121289429","POINT (-122.40212121289429 37.716134500935816)","75","9","9","40",,,,,
"2019-09-29T22:20:00.000","2019-09-29T00:00:00.000","22:20","2019","Sunday","2019-09-30T00:25:00.000","85397828150","853978","190732127","192730044","II","Initial",,"28150","Malicious Mischief","Vandalism","Malicious Mischief, Vandalism to Property","Cite or Arrest Adult","FRIDA KAHLO WAY \ GENEVA AVE \ OCEAN AVE","22192000","Ingleside","West of Twin Peaks","7","37.72308024149852","-122.45233156215446","POINT (-122.45233156215446 37.72308024149852)","64","10","8","41",,,,,
"2019-10-04T12:36:00.000","2019-10-04T00:00:00.000","12:36","2019","Friday","2019-10-04T12:36:00.000","85440616652","854406","190745675","192771785","II","Initial",,"16652","Drug Offense","Drug Violation","Methamphetamine, Possession For Sale","Cite or Arrest Adult","EDDY ST \ HYDE ST","25138000","Tenderloin","Tenderloin","6","37.78351564008561","-122.41588253952085","POINT (-122.41588253952085 37.78351564008561)","20","5","10","36",,,"1",,
"2019-10-03T17:45:00.000","2019-10-03T00:00:00.000","17:45","2019","Thursday","2019-10-03T21:23:00.000","85424506244","854245","196208437",,"II","Coplogic Initial","true","06244","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active",,,"Park",,,,,,,,,,,,,,
"2019-09-30T10:00:00.000","2019-09-30T00:00:00.000","10:00","2019","Monday","2019-10-02T15:17:00.000","85425506244","854255","196208443",,"II","Coplogic Initial","true","06244","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active","BAKER ST \ GOLDEN GATE AVE","26359000","Park","Western Addition","5","37.77829955272183","-122.4418656420479","POINT (-122.4418656420479 37.77829955272183)","97","7","11","39",,,,,
"2019-10-04T16:15:00.000","2019-10-04T00:00:00.000","16:15","2019","Friday","2019-10-04T16:39:00.000","85444703074","854447","190746491","192772859","II","Initial",,"03074","Robbery","Robbery - Other","Robbery, W/ Force","Cite or Arrest Adult","VAN DYKE AVE \ JENNINGS ST","20151000","Bayview","Bayview Hunters Point","10","37.72704414579369","-122.38867281318191","POINT (-122.38867281318191 37.72704414579369)","86","2","9","1",,,,,
"2019-10-04T11:10:00.000","2019-10-04T00:00:00.000","11:10","2019","Friday","2019-10-04T12:30:00.000","85437906244","854379","190745772","192771937","II","Initial",,"06244","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active","MARINA BLVD \ LYON ST","33625000","Northern","Presidio","2","37.80472422408812","-122.44827914652447","POINT (-122.44827914652447 37.80472422408812)","17","4","6","27",,,,,
"2019-10-03T18:40:00.000","2019-10-03T00:00:00.000","18:40","2019","Thursday","2019-10-04T15:22:00.000","85445806242","854458","190746253","192772500","II","Initial",,"06242","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, $50-$200","Open or Active","NORTH POINT ST \ POWELL ST","25480000","Central","North Beach","3","37.80675808244208","-122.4121414255319","POINT (-122.4121414255319 37.80675808244208)","99","6","3","23",,,,,
