NAME,BRANDNAME,PB_ID,TRADE_NAME,FRANCHISE_NAME,ISO3,AREANAME4,AREANAME3,AREANAME2,AREANAME1,STABB,POSTCODE,FORMATTEDADDRESS,MAINADDRESSLINE,ADDRESSLASTLINE,LONGITUDE,LATITUDE,GEORESULT,CONFIDENCE_CODE,COUNTRY_ACCESS_CODE,TEL_NUM,FAXNUM,EMAIL,HTTP,OPEN_24H,BUSINESS_LINE,SIC1,SIC2,SIC8,SIC8_DESCRIPTION,ALT_INDUSTRY_CODE,MICODE,TRADE_DIVISION,GROUP,CLASS,SUB_CLASS,EMPLOYEE_HERE,EMPLOYEE_COUNT,YEAR_START,SALES_VOLUME_LOCAL,SALES_VOLUME_US_DOLLARS,CURRENCY_CODE,AGENT_CODE,LEGAL_STATUS_CODE,STATUS_CODE,SUBSIDIARY_INDICATOR,PARENT_BUSINESS_NAME,PARENT_ADDRESS,PARENT_STREET_ADDRESS,PARENT_AREANAME3,PARENT_AREANAME1,PARENT_COUNTRY,PARENT_POSTCODE,DOMESTIC_ULTIMATE_BUSINESS_NAME,DOMESTIC_ULTIMATE_ADDRESS,DOMESTIC_ULTIMATE_STREET_ADDRESS,DOMESTIC_ULTIMATE_AREANAME3,DOMESTIC_ULTIMATE_AREANAME1,DOMESTIC_ULTIMATE_POSTCODE,GLOBAL_ULTIMATE_INDICATOR,GLOBAL_ULTIMATE_BUSINESS_NAME,GLOBAL_ULTIMATE_ADDRESS,GLOBAL_ULTIMATE_STREET_ADDRESS,GLOBAL_ULTIMATE_AREANAME3,GLOBAL_ULTIMATE_AREANAME1,GLOBAL_ULTIMATE_COUNTRY,GLOBAL_ULTIMATE_POSTCODE,FAMILY_MEMBERS,HIERARCHY_CODE,TICKER_SYMBOL,EXCHANGE_NAME,geom
HENG FENG,,2165413977,,,ESP,,CASTELLDEFELS,BARCELONA,CATALUÑA,CT,08860,"AVINGUDA DE LA CONSTITUCIÓ 0190, 08860, CASTELLDEFELS, BARCELONA",AVINGUDA DE LA CONSTITUCIÓ 0190,"08860, CASTELLDEFELS, BARCELONA",1.976441,41.277478,T16,MEDIUM,,,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(1.976441 41.277478)
ESPECIALITATS CARMEN,,2161040894,,,ESP,,BARCELONA,BARCELONA,CATALUÑA,CT,08038,"PASSEIG DE LA ZONA FRANCA 0005, 08038, BARCELONA, BARCELONA",PASSEIG DE LA ZONA FRANCA 0005,"08038, BARCELONA, BARCELONA",2.138892,41.36004,T20,LOW,,934 22 51 20,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(2.138892 41.36004)
LLAURADO SELECCIO,,2169505550,,,ESP,,BARCELONA,BARCELONA,CATALUÑA,CT,08040,"CARRER 28 DEL BZ 505032, 08040, BARCELONA, BARCELONA",CARRER 28 DEL BZ 505032,"08040, BARCELONA, BARCELONA",2.13641,41.33519,T20,LOW,,,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(2.13641 41.33519)
PASTISSERIA HIDALGO,,2165350191,,,ESP,,VILANOVA I LA GELTRÚ,BARCELONA,CATALUÑA,CT,08800,"CARRER DE SANT ONOFRE 0104, 08800, VILANOVA I LA GELTRÚ, BARCELONA",CARRER DE SANT ONOFRE 0104,"08800, VILANOVA I LA GELTRÚ, BARCELONA",1.716463,41.224254,T16,MEDIUM,,,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(1.716463 41.224254)
CARLOS BARRERO,,2163666015,,,ESP,,L'HOSPITALET DE LLOBREGAT,BARCELONA,CATALUÑA,CT,08905,"CARRER DEL LLEVANT 0100, 08905, L'HOSPITALET DE LLOBREGAT, BARCELONA",CARRER DEL LLEVANT 0100,"08905, L'HOSPITALET DE LLOBREGAT, BARCELONA",2.107594,41.371909,T16,MEDIUM,,,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(2.107594 41.371909)
ALIMENTACION CASTARNAD,,2168249694,,,ESP,,SANT PERE DE RIBES,BARCELONA,CATALUÑA,CT,08812,"CARRER DE SAGUNT 0015, 08812, SANT PERE DE RIBES, BARCELONA",CARRER DE SAGUNT 0015,"08812, SANT PERE DE RIBES, BARCELONA",1.74789,41.228,T16,MEDIUM,,,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(1.74789 41.228)
POLLOS PLANES,,2163112614,,,ESP,,BADALONA,BARCELONA,CATALUÑA,CT,08914,"PASSEIG DE LA SALUT 0082, 08914, BADALONA, BARCELONA",PASSEIG DE LA SALUT 0082,"08914, BADALONA, BARCELONA",2.226313,41.441875,T16,MEDIUM,,933 87 70 34,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(2.226313 41.441875)
SIENA BOMBONERIA,,2168483052,,,ESP,,VILAFRANCA DEL PENEDÈS,BARCELONA,CATALUÑA,CT,08720,"CARRER DE LA PALMA 0010, 08720, VILAFRANCA DEL PENEDÈS, BARCELONA",CARRER DE LA PALMA 0010,"08720, VILAFRANCA DEL PENEDÈS, BARCELONA",1.699861,41.345905,T20,LOW,,,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(1.699861 41.345905)
FRUVERLAND,,2115397582,,,ESP,,SANT BOI DE LLOBREGAT,BARCELONA,CATALUÑA,CT,08830,"CARRER DE FRANCESC MACIÀ 0095, 08830, SANT BOI DE LLOBREGAT, BARCELONA",CARRER DE FRANCESC MACIÀ 0095,"08830, SANT BOI DE LLOBREGAT, BARCELONA",2.044173,41.33926,T16,MEDIUM,,,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(2.044173 41.33926)
CARNICERIA BORDAS,,2137693262,,,ESP,,BARCELONA,BARCELONA,CATALUÑA,CT,08018,"PLAÇA DEL MERCAT 26, 08018, BARCELONA, BARCELONA",PLAÇA DEL MERCAT 26,"08018, BARCELONA, BARCELONA",2.188608,41.4075,T16,MEDIUM,,,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(2.188608 41.4075)
BAZAR LIAN HAO,,2160214457,,,ESP,,CORNELLÀ DE LLOBREGAT,BARCELONA,CATALUÑA,CT,08940,"AVINGUDA DE SANT ILDEFONS 26, 08940, CORNELLÀ DE LLOBREGAT, BARCELONA",AVINGUDA DE SANT ILDEFONS 26,"08940, CORNELLÀ DE LLOBREGAT, BARCELONA",2.081452,41.366425,T20,LOW,,933 76 12 51,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(2.081452 41.366425)
XARCUTERIA CASA COLL,,2162749377,,,ESP,,MANRESA,BARCELONA,CATALUÑA,CT,08243,"AVINGUDA DELS DOLORS 38, 08243, MANRESA, BARCELONA",AVINGUDA DELS DOLORS 38,"08243, MANRESA, BARCELONA",1.838568,41.739016,T17,MEDIUM,,938 73 92 97,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(1.838568 41.739016)
NATURALMENT,,2166189088,,,ESP,,GAVÀ,BARCELONA,CATALUÑA,CT,08850,"CARRER DE SANT LLUÍS 0012, 08850, GAVÀ, BARCELONA",CARRER DE SANT LLUÍS 0012,"08850, GAVÀ, BARCELONA",2.000016,41.3081,T17,MEDIUM,,937 90 81 93,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(2.000016 41.3081)
